DATE,ORIGIN,DEST,Flight No.,SCH DEP TIME,SCH ARR TIME,STATUS,PRED ARR DELAY (Min.)
2019-3-23,LAX,JFK,B6-24,05:30,13:54,Ground,-0.9274198373417246
2019-3-23,LAX,JFK,B6-124,07:30,15:57,Ground,-10.485338961143848
2019-3-23,LAX,JFK,B6-224,08:30,16:57,Ground,-6.214806019013761
2019-3-23,LAX,JFK,B6-424,11:33,20:06,Ground,-6.591889709888193
2019-3-23,LAX,JFK,B6-1224,20:35,04:57,Ground,0.5768312759630425
2019-3-23,LAX,JFK,B6-1424,23:28,08:05,Ground,-4.55484120100084
2019-3-23,LAX,JFK,AA-238,13:00,21:32,Ground,-6.993090763172324
2019-3-23,LAX,JFK,AA-274,12:00,20:31,Ground,-6.922029681051725
2019-3-23,LAX,JFK,AA-2,09:00,17:29,Ground,-6.564222392530611
2019-3-23,LAX,JFK,AA-4,11:00,19:31,Ground,-6.39123986512118
2019-3-23,LAX,JFK,AA-28,22:40,07:06,Ground,-3.124975042685407
2019-3-23,LAX,JFK,AS-1412,14:10,22:40,Ground,-6.643674389655473
2019-3-23,LAX,JFK,AA-2201,15:00,23:22,Ground,-3.785632318712567
2019-3-23,LAX,JFK,AS-452,10:35,19:10,Ground,-6.422068785007287
2019-3-23,LAX,JFK,AS-468,15:15,23:45,Ground,-6.643674389655473
2019-3-23,LAX,JFK,AS-470,21:15,05:40,Ground,-0.008242901307844228
2019-3-23,LAX,JFK,AS-486,23:15,07:45,Ground,-3.1622534837805487
2019-3-23,LAX,JFK,DL-1876,06:15,14:43,Ground,-6.254996477845498
2019-3-23,LAX,JFK,DL-1891,07:55,16:25,Ground,-12.557270710016729
2019-3-23,LAX,JFK,DL-1922,21:25,05:44,Ground,0.6074473949577677
2019-3-23,LAX,JFK,DL-1956,14:15,22:44,Ground,-7.552490283570172
2019-3-23,LAX,JFK,DL-40,09:05,17:41,Ground,-7.289577234436394
2019-3-23,LAX,JFK,DL-468,11:35,20:03,Ground,-7.126221397360544
2019-3-23,LAX,JFK,AA-307,08:00,16:29,Ground,-6.564222392530611
2019-3-23,DCA,JFK,OO-4089,16:58,18:40,Ground,-0.4293092471889029
2019-3-23,DCA,JFK,AA-2654,18:07,19:46,Ground,-2.152077009573634
2019-3-23,DCA,JFK,OH-5458,13:12,14:29,Ground,3.2766342440197813
2019-3-23,DCA,JFK,9E-5348,10:59,12:17,Ground,2.2668902853840063
2019-3-23,DCA,JFK,DL-2924,06:10,07:22,Ground,3.7452495373850456
2019-3-23,DCA,JFK,YX-4532,14:59,16:31,Ground,-0.29646683514436295
2019-3-23,DCA,JFK,YX-5936,13:25,14:56,Ground,3.552476726212115
2019-3-23,CVG,JFK,MQ-3441,12:54,14:59,Ground,3.0544382765365277
2019-3-23,CVG,JFK,9E-3438,15:39,17:42,Ground,-2.448246563960577
