DATE,ORIGIN,DEST,Flight No.,SCH DEP TIME,SCH ARR TIME,PRED DEP DELAY (Min.)
2019-3-23,JFK,BOS,9E-5243,13:35,14:49,15.055996453900708
2019-3-23,JFK,BOS,MQ-3750,07:55,09:14,16.660627705627704
2019-3-23,JFK,BOS,AA-1140,09:40,10:52,6.812596453900709
2019-3-23,JFK,BOS,9E-3329,19:30,21:01,18.61878213909378
2019-3-23,JFK,BOS,9E-5033,06:59,08:17,10.772163120567376
2019-3-23,JFK,BOS,9E-5034,11:25,12:38,14.858996453900708
2019-3-23,JFK,BOS,MQ-4052,12:55,14:08,28.293437229437227
2019-3-23,JFK,BOS,DL-1406,21:39,23:10,23.18797783643372
2019-3-23,JFK,BOS,DL-1274,15:15,16:47,14.367156565656567
2019-3-23,JFK,BOS,AA-1278,20:00,21:20,10.557979344729345
2019-3-23,JFK,CLT,B6-219,07:22,09:21,20.73397619047619
2019-3-23,JFK,CLT,B6-1119,16:59,19:07,21.461970469196277
2019-3-23,JFK,CLT,AA-388,12:55,14:56,11.561956140350876
2019-3-23,JFK,CLT,AA-2067,06:35,08:43,13.576933333333331
2019-3-23,JFK,CLT,9E-5256,12:00,13:57,15.989956140350877
2019-3-23,JFK,CLT,AA-1728,19:25,21:39,17.244934472934474
2019-3-23,JFK,CLT,9E-5006,19:25,21:42,13.292970735585008
2019-3-23,JFK,CLT,DL-2921,14:55,17:13,8.839278964835314
2019-3-23,JFK,SEA,B6-263,17:19,20:49,22.99180397380397
2019-3-23,JFK,SEA,AS-7,07:00,10:25,14.796608946608947
2019-3-23,JFK,SEA,AS-349,09:00,12:25,14.38063492063492
2019-3-23,JFK,SEA,AS-1063,18:55,22:25,24.878940170940172
2019-3-23,JFK,SEA,DL-2950,18:15,21:39,23.846601229199667
2019-3-23,JFK,SEA,DL-2954,07:09,10:27,12.771600358422939
2019-3-23,JFK,SEA,DL-2955,16:15,19:47,20.98250637825116
